"","ConfirmedSppNames","Species","Category","Use","Group","Location","Authors","Title","Journal","Volume","Pages","GBIFrecswithconfirmendnames"
"225","Senna alata","Cassia alata","Health care","treating fertility problem","Medicine: Infertility","Greater Accra Region","Boadu, A. A., & Asase, A. (2017)","Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana","Evidence-Based Complementary and Alternative Medicine","","2017",12
"226","Senna alata","Cassia alata","Health care","treating skin ulcer","Medicine: Ulcer","Brong-Ahafo Region","Henry, S. G., Francis, A., & Kofi, A. (2013)","Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana","Journal of Medicinal Plants Research","7(44)","3280-3285",12
"227","Senna alata","Cassia alata","Health care","treating wounds and infections","Medicine: Wound healing","Eastern Region","Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)","Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.","Journal of ethnopharmacology","116(1)","102-112",12
"228","Chamaecrista mimosoides","Cassia mimosoides","Health care","treating fractures","Medicine: Fractures","Upper West Region","Wodah, D., & Asase, A. (2012)","Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana","Pharmaceutical biology","50(7)","807-815",152
"229","Senna occidentalis","Cassia occidentalis","Health care","treating guinea worm diseases","Medicine: Infectious diseases","Eastern Region","Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)","Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.","Journal of ethnopharmacology","116(1)","102-111",46
"230","Senna occidentalis","Cassia occidentalis","Health care","treating wounds","Medicine: Wound healing","Eastern Region","Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)","Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.","Journal of ethnopharmacology","116(1)","102-111",46
"231","Senna occidentalis","Cassia occidentalis","Health care","treating wounds and infections","Medicine: Wound healing","Eastern Region","Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)","Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.","Journal of ethnopharmacology","116(1)","102-113",46
"232","Senna podocarpa","Cassia podocarpa","Health care","treating wounds and dressing sores","Medicine: Wound healing","Eastern Region","Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)","Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.","Journal of ethnopharmacology","116(1)","102-111",35
"233","Senna podocarpa","Cassia podocarpa","Health care","treating skin ulcers","Medicine: Ulcer","Eastern Region","Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)","Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.","Journal of ethnopharmacology","116(1)","102-111",35
"234","Cassia sieberiana","Cassia sieberiana","Health care","treating malaria","Medicine: Malaria","Upper West Region","Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)","Ethnobotanical study of some Ghanaian anti-malarial plants","Journal of Ethnopharmacology","99(2)","273-279",61
"235","Cassia sieberiana","Cassia sieberiana","Health care","treating stomach aches","Medicine: Somatic pains","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",61
"236","Cassia sieberiana","Cassia sieberiana","Construction","used for roofing buildings","Building materials","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",61
"237","Cassia sieberiana","Cassia sieberiana","Health care","treating fever","Medicine: Fever","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",61
"238","Senna sophera","Cassia sophera","Agriculture","used for preserving food","Post-harvest protectant","Northern, Upper East and Upper West Regions","Belmain, S. R., Neal, G. E., Ray, D. E., & Golob, P. (2001)","Insecticidal and vertebrate toxicity associated with ethnobotanicals used as post-harvest protectants in Ghana","Food and Chemical Toxicology","39(3)","287-296",32
"239","Senna sophera","Cassia sophera","Agriculture","protecting stored products","Post-harvest protectants","Northern, Upper East and Upper West Regions","Belmain, S., & Stevenson, P. (2001)","Ethnobotanicals in Ghana: reviving and modernising age-old farmer practice","Pesticide outlook","12(6)","233-238",32
"240","Senna tora","Cassia tora","Health care","treating rib pains","Medicine: Somatic pains","Upper West Region","Wodah, D., & Asase, A. (2012)","Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana","Pharmaceutical biology","50(7)","807-815",31
"241","Casuarina equisetifolia","Casuarina equisetifolia","Health care","treating brain cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",8
"242","Cedrela odorata","Cedrela odorata","Agriculture","used as protectants of stored grains","Post-harvest protectant","Ashanti Region","Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)","Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses","(NRI Bulletin 77)","","",11
"243","Cedrela odorata","Ceiba pentandra","Health care","treating rib pains","Medicine: Somatic pains","Upper West Region","Wodah, D., & Asase, A. (2012)","Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana","Pharmaceutical biology","50(7)","807-815",11
"244","Cedrela odorata","Ceiba pentandra","Health care","treating hernia","Medicine: Edema","Brong-Ahafo Region","Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana","Journal of medicinal plants research","2(9)","226-233",11
"245","Cedrela odorata","Ceiba pentandra","Food and nutrition","leaves are taken as vegetables","Food","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",11
"246","Celtis mildbraedii","Celtis mildbraedii","Health care","treating hernia","Medicine: Edema","Brong-Ahafo Region","Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana","Journal of medicinal plants research","2(9)","226-233",54
"247","Celtis mildbraedii","Celtis mildbraedii","Health care","treating pneumonia","Medicine: Infectious diseases","Brong-Ahafo Region","Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana","Journal of medicinal plants research","2(9)","226-233",54
"248","Cercestis afzelii","Cercestis afzelii","Health care","treating gonorrhoea","Medicine: Infectious diseases","Brong-Ahafo Region","Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana","Journal of medicinal plants research","2(9)","226-233",28
"249","Chamaecrista nigricans","Chamaecrista nigricans","Agriculture","used for preserving food","Post-harvest protectant","Northern, Upper East and Upper West Regions","Belmain, S. R., Neal, G. E., Ray, D. E., & Golob, P. (2001)","Insecticidal and vertebrate toxicity associated with ethnobotanicals used as post-harvest protectants in Ghana","Food and Chemical Toxicology","39(3)","287-291",15
"250","Chamaecrista nigricans","Chamaecrista nigricans","Agriculture","protecting stored products","Post-harvest protectants","Northern, Upper East and Upper West Regions","Belmain, S., & Stevenson, P. (2001)","Ethnobotanicals in Ghana: reviving and modernising age-old farmer practice","Pesticide outlook","12(6)","233-238",15
"251","Dysphania ambrosioides","Chenopodium ambrosioides","Health care","treating skin infections","Medicine: Infectious diseases","Eastern Region","Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)","Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.","Journal of ethnopharmacology","116(1)","102-111",16
"252","Dysphania ambrosioides","Chenopodium ambrosioides","Health care","treating wounds","Medicine: Wound healing","Eastern Region","Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)","Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.","Journal of ethnopharmacology","116(1)","102-111",16
"253","Dysphania ambrosioides","Chenopodium ambrosioides","Health care","treating tuberculosis","Medicine: Infectious diseases","Greater Accra and Eastern Regions","Nguta, J. M., Appiah-Opong, R., Nyarko, A. K., Yeboah-Manu, D., & Addo, P. G. (2015) ","Medicinal plants used to treat TB in Ghana","International journal of mycobacteriology","4(2)","116-123",16
"254","Chromolaena odorata","Chromolaena odorata","Health care","teating wounds","Medicine: Wound healing","Brong-Ahafo Region","Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana","Journal of medicinal plants research","2(9)","226-233",34
"255","Chromolaena odorata","Chromolaena odorata","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Asase, A., & Asafo-Agyei, T. (2011)","Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana","Journal of herbs, spices & medicinal plants ","17(2)","85-113",34
"256","Chromolaena odorata","Chromolaena odorata","Health care","treating cuts","Medicine: Wound healing","Greater Accra Region","Asase, A., & Kadera, M. L. (2014)","Herbal medicines for child healthcare from Ghana","Journal of Herbal Medicine","4(1)","24-36",34
"257","Chromolaena odorata","Chromolaena odorata","Health care","treating fevers","Medicine: Fever","Greater Accra Region","Asase, A., & Kadera, M. L. (2014)","Herbal medicines for child healthcare from Ghana","Journal of Herbal Medicine","4(1)","24-36",34
"258","Chromolaena odorata","Chromolaena odorata","Health care","treating skin cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",34
"259","Chromolaena odorata","Chromolaena odorata","Agriculture","used as protectants of stored grains","Post-harvest protectant","Ashanti Region","Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)","Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses","(NRI Bulletin 77)","","",34
"260","Chromolaena odorata","Chromolaena odorata","Health care","treating diarrhoea","Medicine: Gastrointestinal disorders","Brong-Ahafo Region","Henry, S. G., Francis, A., & Kofi, A. (2013)","Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana","Journal of Medicinal Plants Research","7(44)","3280-3285",34
"261","Chromolaena odorata","Chromolaena odorata","Health care","treating skin ulcer","Medicine: Ulcer","Brong-Ahafo Region","Henry, S. G., Francis, A., & Kofi, A. (2013)","Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana","Journal of Medicinal Plants Research","7(44)","3280-3285",34
"262","Chromolaena odorata","Chromolaena odorata","Agriculture","used to improve soil fertility","Nutrient release and organic matter amendments","Ashanti Region","Quansah, C., Fening, J. O., Ampontuah, E. O., Afreh, D., & Amin, A. (2001)","Potential of Chromolaena odorata, Panicum maximum and Pueraria phaseoloides as nutrient sources and organic matter amendments for soil fertility maintenance in Ghana","Biological agriculture & horticulture","19(2)","101-113",34
"263","Chromolaena odorata","Chromolaena odorata","Health care","treating typhoid fever","Medicine: Fever","Greater Accra Region","Boadu, A. A., & Asase, A. (2017)","Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana","Evidence-Based Complementary and Alternative Medicine","","2017",34
"264","Chromolaena odorata","Chromolaena odorata","Health care","used  to stop bleeding","Medicine: Wound healing","Greater Accra Region","Boadu, A. A., & Asase, A. (2017)","Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana","Evidence-Based Complementary and Alternative Medicine","","2017",34
"265","Chromolaena odorata","Chromolaena odorata","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana","Journal of ethnopharmacology","172","333-346",34
"266","Cissampelos mucronata","Cissampelos mucronata","Health care","treating skin cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",64
"267","Citrullus lanatus","Citrullus lanatus","Health care","treating constipation","Medicine: Gastrointestinal disorders","Greater Accra Region","Asase, A., & Kadera, M. L. (2014)","Herbal medicines for child healthcare from Ghana","Journal of Herbal Medicine","4(1)","24-36",99
"268","Citrus aurantiifolia","Citrus aurantiifolia","Health care","treating boils","Medicine: Infectious diseases","Greater Accra Region","Asase, A., & Kadera, M. L. (2014)","Herbal medicines for child healthcare from Ghana","Journal of Herbal Medicine","4(1)","24-36",4
"269","Citrus aurantiifolia","Citrus aurantiifolia","Health care","treating chicken pox","Medicine: Infectious diseases","Greater Accra Region","Asase, A., & Kadera, M. L. (2014)","Herbal medicines for child healthcare from Ghana","Journal of Herbal Medicine","4(1)","24-36",4
"270","Citrus aurantiifolia","Citrus aurantiifolia","Health care","treating fever","Medicine: Fever","Greater Accra Region","Asase, A., & Kadera, M. L. (2014)","Herbal medicines for child healthcare from Ghana","Journal of Herbal Medicine","4(1)","24-36",4
"271","Citrus aurantiifolia","Citrus aurantiifolia","Health care","treating breast, skin and throat cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",4
"272","Citrus aurantiifolia","Citrus aurantiifolia","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana","Journal of ethnopharmacology","172","333-346",4
"273","Citrus aurantiifolia","Citrus aurantiifolia","Agriculture","used as protectants of stored grains","Post-harvest protectant","Ashanti Region","Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)","Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses","(NRI Bulletin 77)","","",4
"274","None","Citrus limon","Health care","treating breast and prostate cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",NA
"275","None","Citrus limon","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana","Journal of ethnopharmacology","172","333-346",NA
"276","None","Citrus sinensis","Health care","treating cervical, brain, throat, prostate and stomach cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",NA
"277","None","Citrus sinensis","Agriculture","protecting stored products","Post-harvest protectants","Northern, Upper East and Upper West Regions","Belmain, S., & Stevenson, P. (2001)","Ethnobotanicals in Ghana: reviving and modernising age-old farmer practice","Pesticide outlook","12(6)","233-238",NA
"278","None","Citrus sinensis","Health care","treating  constipation","Medicine: Gastrointestinal disorders","Greater Accra Region","Boadu, A. A., & Asase, A. (2017)","Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana","Evidence-Based Complementary and Alternative Medicine","","2017",NA
"279","None","Citrus sinensis","Agriculture","used as protectants of stored grains","Post-harvest protectant","Ashanti Region","Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)","Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses","(NRI Bulletin 77)","","",NA
"280","Clausena anisata","Clausena anisata","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana","Journal of ethnopharmacology","172","333-346",47
"281","Cleistopholis patens","Cleistopholis patens","Agriculture","used as protectants of stored grains","Post-harvest protectant","Ashanti Region","Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)","Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses","(NRI Bulletin 77)","","",111
"282","Cleistopholis patens","Cleistopholis patens","Health care","treating malaria","Medicine: Malaria","Asanti Region","Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)","Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management","Sustainability","9(8)","1468",111
"283","Cleistopholis patens","Cleistopholis patens","Health care","treating hernia","Medicine: Edema","Asanti Region","Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)","Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management","Sustainability","9(8)","1468",111
"284","Cleistopholis patens","Cleistopholis patens","Health care","treating impaired growth","Medicine: Nutrient deficiencies","Brong-Ahafo Region","Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana","Journal of medicinal plants research","2(9)","226-233",111
"285","Cleistopholis patens","Cleistopholis patens","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Asase, A., & Asafo-Agyei, T. (2011)","Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana","Journal of herbs, spices & medicinal plants ","17(2)","85-110",111
"286","Cleistopholis patens","Cleistopholis patens","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana","Journal of ethnopharmacology","172","333-346",111
"287","Clerodendrum capitatum","Clerodendrum capitatum","Health care","treating breast and skin cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",60
"288","Cnestis ferruginea","Cnestis ferruginea","Health care","treating dysentery","Medicine: Gastrointestinal disorders","Brong-Ahafo Region","Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana","Journal of medicinal plants research","2(9)","226-233",105
"289","Cnestis ferruginea","Cnestis ferruginea","Health care","treating diarrhoea","Medicine: Gastrointestinal disorders","Brong-Ahafo Region","Henry, S. G., Francis, A., & Kofi, A. (2013)","Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana","Journal of Medicinal Plants Research","7(44)","3280-3285",105
"290","Cnestis ferruginea","Cnestis ferruginea","Health care","treating skin and stomach cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",105
"291","Cochlospermum planchonii","Cochlospermum planchonii","Social","used for making ropes","Artefacts","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",61
"292","Cochlospermum planchonii","Cochlospermum tinctorium","Health care","treating malaria","Medicine: Malaria","Upper West Region","Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)","Ethnobotanical study of some Ghanaian anti-malarial plants","Journal of Ethnopharmacology","99(2)","273-279",61
"293","Cochlospermum planchonii","Cochlospermum tinctorium","Health care","treating fevers","Medicine: Malaria","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",61
"294","Cochlospermum planchonii","Cochlospermum tinctorium","Social","used for making ropes","Artefacts","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",61
"295","None","Coccoloba ascendens","Health care","treating convulsion","Medicine: Seizure","Upper West Region","Wodah, D., & Asase, A. (2012)","Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana","Pharmaceutical biology","50(7)","807-815",NA
"296","Cocos nucifera","Cocos nucifera","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana","Journal of ethnopharmacology","172","333-346",1
"297","Cocos nucifera","Cocos nucifera","Health care","treating tuberculosis","Medicine: Infectious diseases","Greater Accra and Eastern Regions","Nguta, J. M., Appiah-Opong, R., Nyarko, A. K., Yeboah-Manu, D., & Addo, P. G. (2015) ","Medicinal plants used to treat TB in Ghana","International journal of mycobacteriology","4(2)","116-123",1
"298","Cocos nucifera","Cocos nucifera","Agriculture","used as protectants of stored grains","Post-harvest protectant","Ashanti Region","Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)","Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses","(NRI Bulletin 77)","","",1
"299","Cocos nucifera","Cocos nucifera","Health care","treating stomach and lung cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",1
"300","Coix lacryma-jobi","Coix lacryma-jobi","Health care","treating tuberculosis","Medicine: Infectious diseases","Greater Accra and Eastern Regions","Nguta, J. M., Appiah-Opong, R., Nyarko, A. K., Yeboah-Manu, D., & Addo, P. G. (2015) ","Medicinal plants used to treat TB in Ghana","International journal of mycobacteriology","4(2)","116-123",39
"301","Cola gigantea","Cola gigantea","Health care","treating waist pains","Medicine: Somatic pains","Brong-Ahafo Region","Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana","Journal of medicinal plants research","2(9)","226-233",46
"302","Cola gigantea","Cola gigantea","Health care","treating stomach ulcer","Medicine: Ulcer","Brong-Ahafo Region","Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana","Journal of medicinal plants research","2(9)","226-233",46
"303","Cola gigantea","Cola gigantea","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana","Journal of ethnopharmacology","172","333-346",46
"304","Cola nitida","Cola nitida","Health care","treating lungs and skin cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",65
"305","Cola nitida","Cola nitida","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana","Journal of ethnopharmacology","172","333-346",65
"306","Colocasia esculenta","Colocasia esculenta","Health care","treating prostate, breast, throat, skin cancer","Medicine: Cancer","Ashanti Region","Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana","Journal of ethnopharmacology","212","137-152",218
"307","Combretum dolichopetalum","Combretum dolichopetalum","Health care","treating wounds","Medicine: Wound healing","Volta Region","Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana","International Journal of Phytomedicine","6(4)","564-572",46
"308","Combretum adenogonium","Combretum ghasalense","Health care","treating stomach aches","Medicine: Somatic pains","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",97
"309","Combretum adenogonium","Combretum ghasalense","Health care","treating cuts","Medicine: Wound healing","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",97
"310","Combretum adenogonium","Combretum ghasalense","Agriculture","used for feeding livestock","Fodder","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",97
"311","Combretum adenogonium","Combretum ghasalense","Construction","used for roofing buildings","Building materials","Upper West Region","Asase, A., & Oteng-Yeboah, A. A. (2012)","Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana","Ethnobotany Research and Applications","10","605-618",97
"312","Combretum adenogonium","Combretum ghasalense","Health care","treating malaria","Medicine: Malaria","Ashanti Region","Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana","Journal of ethnopharmacology","172","333-346",97
"313","Combretum adenogonium","Combretum ghasalense","Health care","treating malaria","Medicine: Malaria","Upper West Region","Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)","Ethnobotanical study of some Ghanaian anti-malarial plants","Journal of Ethnopharmacology","99(2)","273-279",97
"314","Combretum micranthum","Combretum micranthum","Health care","treating wounds","Medicine: Wound healing","Eastern Region","Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)","Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.","Journal of ethnopharmacology","116(1)","102-111",14
"315","Combretum micranthum","Combretum micranthum","Health care","treating guinea worm","Medicine: Infectious diseases","Eastern Region","Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)","Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.","Journal of ethnopharmacology","116(1)","102-111",14
