Species,Species name in GBIF,Species and authority,Category,Use,Group,Location,No. of occurrences in GBIF,Authors,Title,Journal,Volume,Pages,Ist quartile,Median,3rd quartile,Notes
Chamaecrista nigricans,Chamaecrista nigricans,,Agriculture,used for preserving food,Post-harvest protectant,"Northern, Upper East and Upper West Regions",15,"Belmain, S. R., Neal, G. E., Ray, D. E., & Golob, P. (2001)",Insecticidal and vertebrate toxicity associated with ethnobotanicals used as post-harvest protectants in Ghana,Food and Chemical Toxicology,39(3),287-291,1950,1950,1953,
Chamaecrista nigricans,Chamaecrista nigricans,,Agriculture,protecting stored products,Post-harvest protectants,"Northern, Upper East and Upper West Regions",15,"Belmain, S., & Stevenson, P. (2001)",Ethnobotanicals in Ghana: reviving and modernising age-old farmer practice,Pesticide outlook ,12(6) ,233-238,1950,1950,1953,
Chenopodium ambrosioides,Dysphania ambrosioides,Chenopodium ambrosioides L.,Health care,treating skin infections ,Medicine: Infectious diseases,Eastern Region,16,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-111,NA,NA,NA,
Chenopodium ambrosioides,Dysphania ambrosioides,Chenopodium ambrosioides L.,Health care,treating wounds ,Medicine: Wound healing,Eastern Region,16,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-111,NA,NA,NA,
Chenopodium ambrosioides,Dysphania ambrosioides,Chenopodium ambrosioides L.,Health care,treating tuberculosis,Medicine: Infectious diseases,Greater Accra and Eastern Regions,16,"Nguta, J. M., Appiah-Opong, R., Nyarko, A. K., Yeboah-Manu, D., & Addo, P. G. (2015) ",Medicinal plants used to treat TB in Ghana,International journal of mycobacteriology ,4(2) ,116-123,NA,NA,NA,
Chromolaena odorata,Chromolaena odorata,Chromolaena odorata (L.) King & Robbinson,Health care,teating wounds,Medicine: Wound healing,Brong-Ahafo Region,25,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1977,1990,2004,
Chromolaena odorata,Chromolaena odorata,Chromolaena odorata (L.) R.M.King & H.Rob.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,25,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-113,1977,1990,2004,
Chromolaena odorata,Chromolaena odorata,Chromolaena odorata DC. ,Health care,treating cuts,Medicine: Wound healing,Greater Accra Region,25,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,1977,1990,2004,
Chromolaena odorata,Chromolaena odorata,Chromolaena odorata DC. ,Health care,treating fevers,Medicine: Fever,Greater Accra Region,25,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,1977,1990,2004,
Chromolaena odorata,Chromolaena odorata,Chromolaena odorata (L.) R.M.King & H.Rob.,Health care,treating skin cancer,Medicine: Cancer,Ashanti Region,25,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1977,1990,2004,
Chromolaena odorata,Chromolaena odorata,,Agriculture,used as protectants of stored grains,Post-harvest protectant,Ashanti Region,25,"Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)",Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses ,(NRI Bulletin 77),,,1977,1990,2004,
Chromolaena odorata,Chromolaena odorata,,Health care,treating diarrhoea,Medicine: Gastrointestinal disorders,Brong-Ahafo Region,25,"Henry, S. G., Francis, A., & Kofi, A. (2013)",Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana,Journal of Medicinal Plants Research ,7(44) ,3280-3285,1977,1990,2004,
Chromolaena odorata,Chromolaena odorata,,Health care,treating skin ulcer,Medicine: Ulcer,Brong-Ahafo Region,25,"Henry, S. G., Francis, A., & Kofi, A. (2013)",Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana,Journal of Medicinal Plants Research ,7(44) ,3280-3285,1977,1990,2004,
Chromolaena odorata,Chromolaena odorata,,Agriculture,used to improve soil fertility,Nutrient release and organic matter amendments,Ashanti Region,25,"Quansah, C., Fening, J. O., Ampontuah, E. O., Afreh, D., & Amin, A. (2001)","Potential of Chromolaena odorata, Panicum maximum and Pueraria phaseoloides as nutrient sources and organic matter amendments for soil fertility maintenance in Ghana",Biological agriculture & horticulture ,19(2) ,101-113,1977,1990,2004,
Chromolaena odorata ,Chromolaena odorata,Chromolaena odorata (L.) R.M.King & H.Ro,Health care,treating typhoid fever,Medicine: Fever,Greater Accra Region,25,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1977,1990,2004,
Chromolaena odorata ,Chromolaena odorata,Chromolaena odorata (L.) R.M.King & H.Ro,Health care,used  to stop bleeding ,Medicine: Wound healing,Greater Accra Region,25,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1977,1990,2004,
Chromolaena odorata ,Chromolaena odorata,Chromolaena odorata L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,25,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1977,1990,2004,
Cissampelos mucronata,Cissampelos mucronata,Cissampelos mucronata A.Rich.,Health care,treating skin cancer,Medicine: Cancer,Ashanti Region,64,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1994,1994,2002,
Citrullus lanatus,Citrullus lanatus,Citrullus lanatus (Thunb.) Matsum. & Nakai,Health care,treating constipation,Medicine: Gastrointestinal disorders,Greater Accra Region,99,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,1982,1996,2001,
Citrus aurantiifolia,Citrus aurantiifolia,Citrus aurantiifolia (Christm.),Health care,treating boils,Medicine: Infectious diseases,Greater Accra Region,4,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Citrus aurantiifolia,Citrus aurantiifolia,Citrus aurantiifolia (Christm.) Swingle,Health care,treating chicken pox,Medicine: Infectious diseases,Greater Accra Region,4,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Citrus aurantiifolia,Citrus aurantiifolia,Citrus aurantiifolia (Christm.) Swingle,Health care,treating fever,Medicine: Fever,Greater Accra Region,4,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Citrus aurantiifolia,Citrus aurantiifolia,Citrus aurantiifolia (Christm.) Swingle,Health care,"treating breast, skin and throat cancer",Medicine: Cancer,Ashanti Region,4,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Citrus aurantiifolia,Citrus aurantiifolia,Citrus aurantiifolia (Christm.) Swingle,Health care,treating malaria,Medicine: Malaria,Ashanti Region,4,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,NA,NA,NA,
Citrus aurantiifolia,Citrus aurantiifolia,,Agriculture,used as protectants of stored grains,Post-harvest protectant,Ashanti Region,4,"Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)",Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses ,(NRI Bulletin 77),,,NA,NA,NA,
Citrus limon ,None,Citrus limon (L.) Osbeck,Health care,treating breast and prostate cancer,Medicine: Cancer,Ashanti Region,0,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Citrus limon ,None,Citrus limon (L.) Osbeck,Health care,treating malaria,Medicine: Malaria,Ashanti Region,0,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,NA,NA,NA,
Citrus sinensis,None,Citrus sinensis (L.) Osbeck,Health care,"treating cervical, brain, throat, prostate and stomach cancer",Medicine: Cancer,Ashanti Region,0,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Citrus sinensis,None,,Agriculture,protecting stored products,Post-harvest protectants,"Northern, Upper East and Upper West Regions",0,"Belmain, S., & Stevenson, P. (2001)",Ethnobotanicals in Ghana: reviving and modernising age-old farmer practice,Pesticide outlook ,12(6) ,233-238,NA,NA,NA,
Citrus sinensis,None,Citrus sinensis Pers.,Health care,treating  constipation,Medicine: Gastrointestinal disorders,Greater Accra Region,0,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,NA,NA,NA,
Citrus sinensis,None,,Agriculture,used as protectants of stored grains,Post-harvest protectant,Ashanti Region,0,"Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)",Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses ,(NRI Bulletin 77),,,NA,NA,NA,
Clausena anisata ,Clausena anisata ,Clausena anisata (Willd.) Hook.f. ex Benth.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,46,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1964,1974,1981,
Cleistopholis patens,Cleistopholis patens,,Agriculture,used as protectants of stored grains,Post-harvest protectant,Ashanti Region,100,"Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)",Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses ,(NRI Bulletin 77),,,NA,NA,NA,Species name didn’t appear in GBIF search because this paper recorded it as Cleistopholiis patens but it appeared in google as Cleistopholis patens
Cleistopholis patens,Cleistopholis patens,Cleistopholis patens (Benth.) Engl. & Diels,Health care,treating malaria,Medicine: Malaria,Asanti Region,100,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1934,1965,1973,
Cleistopholis patens,Cleistopholis patens,Cleistopholis patens (Benth.) Engl. & Diels,Health care,treating hernia,Medicine: Edema,Asanti Region,100,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1934,1965,1973,
Cleistopholis patens,Cleistopholis patens,Cleistopholis patens (Benth.) Engl. & Diels,Health care,treating impaired growth,Medicine: Nutrient deficiencies,Brong-Ahafo Region,100,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1934,1965,1973,
Cleistopholis patens,Cleistopholis patens,Cleistopholis patens Engl. & Diels,Health care,treating malaria,Medicine: Malaria,Ashanti Region,100,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-110,1934,1965,1973,
Cleistopholis patens,Cleistopholis patens,Cleistopholis patens (Benth.) Engl. and Diels,Health care,treating malaria,Medicine: Malaria,Ashanti Region,100,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1934,1965,1973,
Clerodendrum capitatum,Clerodendrum capitatum,"Clerodendrum capitatum(Willd.) Schumach.&Thonn.
",Health care,treating breast and skin cancer,Medicine: Cancer,Ashanti Region,60,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1960,1964,1994,
Cnestis ferruginea,Cnestis ferruginea,Cnestis ferruginea Vahl ex DC.,Health care,treating dysentery,Medicine: Gastrointestinal disorders,Brong-Ahafo Region,105,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1958,1979,1995,
Cnestis ferruginea,Cnestis ferruginea,,Health care,treating diarrhoea,Medicine: Gastrointestinal disorders,Brong-Ahafo Region,105,"Henry, S. G., Francis, A., & Kofi, A. (2013)",Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana,Journal of Medicinal Plants Research ,7(44) ,3280-3285,1958,1979,1995,
Cnestis ferruginea,Cnestis ferruginea,Cnestis ferruginea Vahl ex DC. ,Health care,treating skin and stomach cancer,Medicine: Cancer,Ashanti Region,105,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1958,1979,1995,
Cochlospermum planchonii,Cochlospermum planchonii,Cochlospermum planchonii Hook.f. ex Planch,Social,used for making ropes,Artefacts,Upper West Region,61,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1954,1964,1994,
Cochlospermum tinctorium,Cochlospermum planchonii,Cochlospermum tinctorium Perr.,Health care,treating malaria,Medicine: Malaria,Upper West Region,42,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,1945,1959,1994,
Cochlospermum tinctorium,Cochlospermum planchonii,"Cochlospermum 
tinctorium A. Rich.",Health care,treating fevers,Medicine: Malaria,Upper West Region,42,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1953,1966,1996,
Cochlospermum tinctorium,Cochlospermum planchonii,"Cochlospermum 
tinctorium A. Rich.",Social,used for making ropes,Artefacts,Upper West Region,42,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1953,1966,1996,
Coccoloba ascendens,None,Coccoloba ascendens Duss ,Health care,treating convulsion,Medicine: Seizure,Upper West Region,0,"Wodah, D., & Asase, A. (2012)",Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana,Pharmaceutical biology ,50(7) ,807-815,NA,NA,NA,Cocoloba ascendens was found in this paper but it appeared in google as Coccoloba ascendens
Cocos nucifera,Cocos nucifera,Cocos nucifera L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,1,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,2012,2012,2012,
Cocos nucifera,Cocos nucifera,Cocos nucifera Linn.,Health care,treating tuberculosis,Medicine: Infectious diseases,Greater Accra and Eastern Regions,1,"Nguta, J. M., Appiah-Opong, R., Nyarko, A. K., Yeboah-Manu, D., & Addo, P. G. (2015) ",Medicinal plants used to treat TB in Ghana,International journal of mycobacteriology ,4(2) ,116-123,2012,2012,2012,
Cocos nucifera,Cocos nucifera,,Agriculture,used as protectants of stored grains,Post-harvest protectant,Ashanti Region,1,"Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)",Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses ,(NRI Bulletin 77),,,2012,2012,2012,
Cocos nucifera,Cocos nucifera,Cocos nucifera L.,Health care,treating stomach and lung cancer,Medicine: Cancer,Ashanti Region,1,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Coix lacryma-jobi,Coix lacryma-jobi,Coix lacryma-jobi L.,Health care,treating tuberculosis,Medicine: Infectious diseases,Greater Accra and Eastern Regions,39,"Nguta, J. M., Appiah-Opong, R., Nyarko, A. K., Yeboah-Manu, D., & Addo, P. G. (2015) ",Medicinal plants used to treat TB in Ghana,International journal of mycobacteriology ,4(2) ,116-123,NA,NA,NA,
Cola gigantea,Cola gigantea,Cola gigantea A.Chev.,Health care,treating waist pains ,Medicine: Somatic pains,Brong-Ahafo Region,35,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1921,1957,2003,
Cola gigantea,Cola gigantea,Cola gigantea A.Chev.,Health care,treating stomach ulcer,Medicine: Ulcer,Brong-Ahafo Region,35,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1921,1957,2003,
Cola gigantea,Cola gigantea,Cola gigantea A. Chev.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,35,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1921,1957,2003,
Cola nitida ,Cola nitida ,Cola nitida (Vent.) Schott&Endl.,Health care,treating lungs and skin cancer,Medicine: Cancer,Ashanti Region,58,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1985,1995,2000,
Cola nitida ,Cola nitida ,Cola nitida (Vent.) Schott and Endl.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,58,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1985,1995,2000,
Colocasia esculenta,Colocasia esculenta,Colocasia esculenta (L.) Schott,Health care,"treating prostate, breast, throat, skin cancer",Medicine: Cancer,Ashanti Region,218,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Combretum dolichopetalum,Combretum dolichopetalum,Combretum dolichopetalum Engl. & Diels ,Health care,treating wounds,Medicine: Wound healing,Volta Region,46,"Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana",International Journal of Phytomedicine ,6(4) ,564-572,1971,1993,1997,
Combretum ghasalense,Combretum adenogonium,Combretum ghasalense Engl. & Diels.,Health care,treating stomach aches,Medicine: Somatic pains,Upper West Region,13,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Combretum ghasalense,Combretum adenogonium,Combretum ghasalense Engl. & Diels.,Health care,treating cuts,Medicine: Wound healing,Upper West Region,13,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Combretum ghasalense,Combretum adenogonium,Combretum ghasalense Engl. & Diels.,Agriculture,used for feeding livestock,Fodder,Upper West Region,13,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Combretum ghasalense,Combretum adenogonium,Combretum ghasalense Engl. & Diels.,Construction,used for roofing buildings,Building materials,Upper West Region,13,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Combretum ghasalense,Combretum adenogonium,Combretum ghasalense Engl. and Diels,Health care,treating malaria,Medicine: Malaria,Ashanti Region,13,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,NA,NA,NA,
Combretum ghasalense,Combretum adenogonium,Combretum ghasalense Engl. & Diels,Health care,treating malaria,Medicine: Malaria,Upper West Region,13,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,NA,NA,NA,
Combretum micranthum,Combretum micranthum,Combretum micranthum G.Don. ,Health care,treating wounds,Medicine: Wound healing,Eastern Region,14,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-111,1959,1964,1979,
Combretum micranthum,Combretum micranthum,Combretum micranthum G.Don. ,Health care,treating guinea worm,Medicine: Infectious diseases,Eastern Region,14,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-111,1959,1964,1979,
Combretum molle ,Combretum molle ,Combretum molle R.Br. ex G.Don,Health care,treating breast cancer,Medicine: Cancer,Ashanti Region,43,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1967,1994,1995,
Combretum molle ,Combretum molle ,Combretum molle R. Br. ex G. Don,Health care,treating fractures,Medicine: Fractures,Upper West Region,43,"Wodah, D., & Asase, A. (2012)",Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana,Pharmaceutical biology ,50(7) ,807-815,1967,1994,1995,
Combretum mucronatum,Combretum mucronatum,Combretum mucronatum Schumach. &Thonn,Health care,treating malaria,Medicine: Malaria,Ashanti Region,144,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1969,1979,1994,
Combretum platypterum,Combretum platypterum,Combretum platypterum (Welw.) Hutch. & Dalziel,Health care,treating skin and lung cancer,Medicine: Cancer,Ashanti Region,47,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1970,1994,1995,
Combretum racemosum,Combretum racemosum,Combretum racemosum P.Beauv. ,Health care,treating throat and breast cancer,Medicine: Cancer,Ashanti Region,110,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1953,1971,1994,
Combretum smeathmanni,Combretum mucronatum,,Health care,treating wounds,Medicine: Wound healing,Ashanti Region,13,"Agyare, C., Asase, A., Lechtenberg, M., Niehues, M., Deters, A., & Hensel, A. (2009).","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of Ethnopharmacology,125, 393-405,NA,NA,NA,
Commiphora africana,Commiphora africana,Commiphora africana (A.Rich.) Endl. ,Health care,treating lung cancer,Medicine: Cancer,Ashanti Region,1,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Copaifera salikounda,Copaifera salikounda,Copaifera salikounda Heckel,Health care,treating high fever,Medicine: Fever,Greater Accra Region,23,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1968,1986,2003,
Copaifera salikounda,Copaifera salikounda,Copaifera salikounda Heckel,Health care,treating piles,Medicine: Gastrointestinal disorders,Greater Accra Region,23,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1968,1986,2003,
